user_id,destination_city,state,travel_date,budget,interests,languages,group_size,travel_style,is_demo_data
demo_user_0001,Hampi,Karnataka,2026-10-02,25000,Nature | Spiritual,English,3,Adventure,True
demo_user_0002,Munnar,Kerala,2026-11-03,10000,Adventure | Culture,English,3,Adventure,True
demo_user_0003,Udaipur,Rajasthan,2026-12-04,8000,Heritage | Shopping,English,3,Comfort,True
demo_user_0004,Kolkata,West Bengal,2026-09-05,15000,Nature | Adventure,English | Hindi,4,Comfort,True
demo_user_0005,Leh,Ladakh,2026-10-06,8000,Shopping | Heritage,English,1,Balanced,True
demo_user_0006,Visakhapatnam,Andhra Pradesh,2026-11-07,15000,Adventure | Spiritual,English,3,Balanced,True
demo_user_0007,Chennai,Tamil Nadu,2026-12-08,3000,Culture | Heritage,English,3,Adventure,True
demo_user_0008,Alappuzha,Kerala,2026-09-09,25000,Nature | Spiritual,English | Hindi,4,Balanced,True
demo_user_0009,New Delhi,Delhi,2026-10-10,5000,Food | Shopping,English,1,Adventure,True
demo_user_0010,Manali,Himachal Pradesh,2026-11-11,10000,Heritage | Food,English,3,Adventure,True
demo_user_0011,Puri,Odisha,2026-12-12,5000,Shopping | Nature,English,1,Budget,True
demo_user_0012,Tirupati,Andhra Pradesh,2026-09-13,3000,Spiritual | Culture,English | Hindi,2,Budget,True
demo_user_0013,Madurai,Tamil Nadu,2026-10-14,25000,Photography | Shopping,English,3,Adventure,True
demo_user_0014,Pune,Maharashtra,2026-11-15,3000,Shopping | Adventure,English,2,Adventure,True
demo_user_0015,Varanasi,Uttar Pradesh,2026-12-16,8000,Spiritual | Heritage,English,1,Comfort,True
demo_user_0016,Rishikesh,Uttarakhand,2026-09-17,5000,Nature | Shopping,English | Hindi,4,Comfort,True
demo_user_0017,Ahmedabad,Gujarat,2026-10-18,5000,Spiritual | Photography,English,4,Balanced,True
demo_user_0018,Mysuru,Karnataka,2026-11-19,15000,Shopping | Photography,English,2,Budget,True
demo_user_0019,Kochi,Kerala,2026-12-20,8000,Photography | Adventure,English,4,Adventure,True
demo_user_0020,Jaipur,Rajasthan,2026-09-21,25000,Culture | Adventure,English | Hindi,2,Balanced,True
demo_user_0021,North Goa,Goa,2026-10-22,3000,Food | Photography,English,4,Budget,True
demo_user_0022,Srinagar,Jammu and Kashmir,2026-11-23,15000,Adventure | Heritage,English,2,Comfort,True
demo_user_0023,Warangal,Telangana,2026-12-24,8000,Adventure | Photography,English,3,Balanced,True
demo_user_0024,Mangaluru,Karnataka,2026-09-25,15000,Photography | Culture,English | Hindi,1,Comfort,True
demo_user_0025,Thiruvananthapuram,Kerala,2026-10-01,5000,Shopping | Spiritual,English,3,Comfort,True
demo_user_0026,Jodhpur,Rajasthan,2026-11-02,3000,Culture | Nature,English,1,Balanced,True
demo_user_0027,Guwahati,Assam,2026-12-03,8000,Spiritual | Heritage,English,1,Budget,True
demo_user_0028,Bhubaneswar,Odisha,2026-09-04,8000,Photography | Food,English | Hindi,2,Balanced,True
demo_user_0029,Vijayawada,Andhra Pradesh,2026-10-05,25000,Spiritual | Photography,English,2,Balanced,True
demo_user_0030,Coimbatore,Tamil Nadu,2026-11-06,25000,Shopping | Spiritual,English,3,Comfort,True
demo_user_0031,Mumbai,Maharashtra,2026-12-07,25000,Food | Culture,English,2,Budget,True
demo_user_0032,Agra,Uttar Pradesh,2026-09-08,10000,Culture | Spiritual,English | Hindi,2,Comfort,True
demo_user_0033,Shimla,Himachal Pradesh,2026-10-09,25000,Adventure | Food,English,3,Comfort,True
demo_user_0034,Amritsar,Punjab,2026-11-10,3000,Shopping | Culture,English,2,Balanced,True
demo_user_0035,Bengaluru,Karnataka,2026-12-11,5000,Food | Culture,English,1,Balanced,True
demo_user_0036,Ooty,Tamil Nadu,2026-09-12,3000,Nature | Culture,English | Hindi,3,Adventure,True
demo_user_0037,Nashik,Maharashtra,2026-10-13,10000,Shopping | Nature,English,4,Adventure,True
demo_user_0038,Panaji,Goa,2026-11-14,10000,Photography | Culture,English,3,Adventure,True
demo_user_0039,Dehradun,Uttarakhand,2026-12-15,5000,Nature | Adventure,English,1,Comfort,True
demo_user_0040,Hyderabad,Telangana,2026-09-16,5000,Heritage | Nature,English | Hindi,2,Adventure,True
demo_user_0041,Hampi,Karnataka,2026-10-17,15000,Spiritual | Nature,English,1,Budget,True
demo_user_0042,Munnar,Kerala,2026-11-18,25000,Adventure | Shopping,English,2,Budget,True
demo_user_0043,Udaipur,Rajasthan,2026-12-19,3000,Photography | Food,English,4,Balanced,True
demo_user_0044,Kolkata,West Bengal,2026-09-20,5000,Shopping | Nature,English | Hindi,1,Budget,True
demo_user_0045,Leh,Ladakh,2026-10-21,25000,Adventure | Heritage,English,4,Budget,True
demo_user_0046,Visakhapatnam,Andhra Pradesh,2026-11-22,25000,Nature | Photography,English,4,Balanced,True
demo_user_0047,Chennai,Tamil Nadu,2026-12-23,8000,Food | Culture,English,1,Budget,True
demo_user_0048,Alappuzha,Kerala,2026-09-24,5000,Heritage | Nature,English | Hindi,1,Budget,True
demo_user_0049,New Delhi,Delhi,2026-10-25,3000,Culture | Nature,English,1,Balanced,True
demo_user_0050,Manali,Himachal Pradesh,2026-11-01,8000,Nature | Photography,English,2,Adventure,True
demo_user_0051,Puri,Odisha,2026-12-02,10000,Spiritual | Food,English,3,Budget,True
demo_user_0052,Tirupati,Andhra Pradesh,2026-09-03,25000,Nature | Shopping,English | Hindi,2,Budget,True
demo_user_0053,Madurai,Tamil Nadu,2026-10-04,15000,Culture | Food,English,2,Budget,True
demo_user_0054,Pune,Maharashtra,2026-11-05,8000,Nature | Shopping,English,1,Budget,True
demo_user_0055,Varanasi,Uttar Pradesh,2026-12-06,10000,Culture | Heritage,English,1,Adventure,True
demo_user_0056,Rishikesh,Uttarakhand,2026-09-07,3000,Spiritual | Heritage,English | Hindi,4,Budget,True
demo_user_0057,Ahmedabad,Gujarat,2026-10-08,3000,Heritage | Adventure,English,2,Budget,True
demo_user_0058,Mysuru,Karnataka,2026-11-09,3000,Nature | Food,English,3,Adventure,True
demo_user_0059,Kochi,Kerala,2026-12-10,8000,Heritage | Culture,English,3,Comfort,True
